internal_id,entity,CID,has_smiles,degree
2489,CID177335,CID177335,True,2
2492,CID1775,CID1775,True,1
2493,CID17751063,CID17751063,True,1
2494,CID17751819,CID17751819,True,1
2499,CID17756618,CID17756618,True,2
2500,CID177865,CID177865,True,1
2501,CID178024,CID178024,True,1
2502,CID1794427,CID1794427,True,1
2503,CID179651,CID179651,True,1
2504,CID181458,CID181458,True,2
2506,CID18343,CID18343,True,3
2508,CID188914,CID188914,True,2
2509,CID189821,CID189821,True,1
2511,CID1901244,CID1901244,True,1
2512,CID19212,CID19212,True,2
2514,CID1935,CID1935,True,238
2516,CID19675,CID19675,True,6
2517,CID196968,CID196968,True,1
2518,CID196970,CID196970,True,2
2519,CID1973,CID1973,True,2
2522,CID1983,CID1983,True,1
2523,CID1985,CID1985,True,1
2526,CID198693,CID198693,True,1
2527,CID1989,CID1989,True,214
2529,CID19910,CID19910,True,1
2530,CID200103,CID200103,True,1
2531,CID20058,CID20058,True,3
2532,CID20279,CID20279,True,23
2533,CID204100,CID204100,True,1
2534,CID2044,CID2044,True,2
2535,CID2049,CID2049,True,1
2536,CID2051,CID2051,True,1
2537,CID20525,CID20525,True,2
2538,CID20635522,CID20635522,True,1
2539,CID207841,CID207841,True,1
2540,CID2082,CID2082,True,270
2541,CID2083,CID2083,True,1
2542,CID20849066,CID20849066,True,1
2543,CID2088,CID2088,True,2
2544,CID208898,CID208898,True,237
2546,CID208908,CID208908,True,163
2547,CID20916937,CID20916937,True,2
2549,CID20933,CID20933,True,1
2550,CID210172,CID210172,True,1
2551,CID210332,CID210332,True,3
2552,CID21081761,CID21081761,True,1
2554,CID2125,CID2125,True,1
2555,CID2130,CID2130,True,232
2557,CID213040,CID213040,True,1
2558,CID2141,CID2141,True,102
2559,CID214347,CID214347,True,1
2561,CID2145,CID2145,True,2
2562,CID21467,CID21467,True,1
2565,CID2155,CID2155,True,1
2566,CID2155128,CID2155128,True,2
2568,CID21585658,CID21585658,True,2
2572,CID2162,CID2162,True,1
2573,CID216210,CID216210,True,3
2578,CID216454,CID216454,True,36
2580,CID216468,CID216468,True,1
2582,CID2170,CID2170,True,224
2583,CID21704,CID21704,True,4
2584,CID21718,CID21718,True,1
2585,CID2176,CID2176,True,1
2587,CID2179,CID2179,True,1
2592,CID219078,CID219078,True,228
2593,CID219099,CID219099,True,1
2594,CID219104,CID219104,True,1
2595,CID2196,CID2196,True,3
2597,CID22024915,CID22024915,True,1
2598,CID220401,CID220401,True,2
2602,CID222284,CID222284,True,1
2603,CID222285,CID222285,True,1
2604,CID22291652,CID22291652,True,4
2605,CID2230,CID2230,True,3
2606,CID22386467,CID22386467,True,2
2609,CID22475,CID22475,True,229
