MK-1775,combination,Nilotinib
Gemcitabine,combination,Nilotinib
Palbociclib,combination,Nilotinib
Bortezomib,combination,Nilotinib
Navitoclax,combination,Nilotinib
Temozolomide,combination,Nilotinib
Crizotinib,combination,Nilotinib
Vorinostat,combination,Nilotinib
Trametinib,combination,Nilotinib
Cisplatin,combination,Nilotinib
Luminespib,combination,Nilotinib
Olaparib,combination,SB-216763
Bortezomib,combination,SB-216763
Palbociclib,combination,SB-216763
Lapatinib,combination,SB-216763
Nutlin-3a (-),combination,SB-216763
Taselisib,combination,SB-216763
Temozolomide,combination,SB-216763
Gemcitabine,combination,SB-216763
Trametinib,combination,SB-216763
Docetaxel,combination,SB-216763
Linsitinib,combination,SB-216763
Crizotinib,combination,SB-216763
MK-1775,combination,SB-216763
Cisplatin,combination,SB-216763
Vorinostat,combination,SB-216763
Navitoclax,combination,SB-216763
Luminespib,combination,SB-216763
Palbociclib,combination,KU-55933
Crizotinib,combination,KU-55933
Vorinostat,combination,KU-55933
Trametinib,combination,KU-55933
Docetaxel,combination,KU-55933
Cisplatin,combination,KU-55933
Gemcitabine,combination,KU-55933
Nutlin-3a (-),combination,KU-55933
Temozolomide,combination,KU-55933
Luminespib,combination,KU-55933
Bortezomib,combination,KU-55933
Navitoclax,combination,KU-55933
Lapatinib,combination,KU-55933
Taselisib,combination,KU-55933
MK-1775,combination,KU-55933
Linsitinib,combination,KU-55933
AZD-7762,combination,Afatinib
Sapitinib,combination,Afatinib
Olaparib,combination,KU-55933
Axitinib,combination,Afatinib
Pictilisib,combination,Afatinib
5-Fluorouracil,combination,Afatinib
PD-173074,combination,Afatinib
MK-2206,combination,Afatinib
Palbociclib,combination,NU-7441
Crizotinib,combination,NU-7441
Vorinostat,combination,NU-7441
Trametinib,combination,NU-7441
Docetaxel,combination,NU-7441
Cisplatin,combination,NU-7441
Gemcitabine,combination,NU-7441
Nutlin-3a (-),combination,NU-7441
Temozolomide,combination,NU-7441
Bortezomib,combination,Wee1 Inhibitor
Taselisib,combination,Wee1 Inhibitor
Navitoclax,combination,Wee1 Inhibitor
Temozolomide,combination,Wee1 Inhibitor
MK-1775,combination,Wee1 Inhibitor
Palbociclib,combination,Wee1 Inhibitor
Linsitinib,combination,Wee1 Inhibitor
